Fecha,SAN,BKIA,NTGY,ACX,FER,ACS,ELE,SAB,AMS,AENA,ITX,MTS,IAG,VIS,BBVA,MAP,CIE,MAS,IBE,ENG,REP,ANA,GRF,CLNX,MRL,BKT,ENC,IDR,SGRE,MEL,TL5,REE,COL,TEF,CABK
2019-09-02,3.4345,1.5795,23.9,7.656,26.25,34.56,23.62,0.758,67.18,165.45,27.85,12.876,4.674,43.48,4.2775,2.392,20.78,18.8,9.442,19.805,13.37,96.95,28.79,36.6,12.09,5.222,3.392,7.185,12.325,7.29,5.966,18.175,10.48,6.356,2.015
2019-09-03,3.3985,1.55,23.76,7.612,26.29,34.6,23.63,0.746,67.0,165.3,27.87,12.692,4.607,43.54,4.286,2.388,20.6,18.6,9.526,19.82,13.31,98.0,28.63,36.88,12.06,5.156,3.386,7.42,12.27,7.29,5.896,18.35,10.53,6.372,2.018
2019-09-04,3.407,1.58,23.8,7.814,26.2,34.77,23.85,0.7528,67.4,165.85,27.8,13.456,4.696,44.16,4.313,2.399,21.48,18.82,9.498,20.08,13.56,99.45,28.47,37.59,12.12,5.238,3.482,7.45,12.475,7.38,6.004,18.3,10.7,6.437,2.052
2019-09-05,3.527,1.701,23.75,8.14,26.1,34.86,23.71,0.8106,68.08,167.1,28.54,13.886,4.792,44.6,4.496,2.44,22.68,18.66,9.438,20.3,13.775,98.8,28.1,37.25,12.09,5.54,3.594,7.78,12.55,7.505,6.17,18.31,10.61,6.507,2.16
2019-09-06,3.531,1.6804999999999999,23.19,8.074,26.43,34.9,23.6,0.799,68.52,167.2,28.65,13.87,4.7940000000000005,44.0,4.49,2.464,22.44,18.72,9.428,19.545,13.615,97.7,28.01,37.89,12.04,5.502,3.5540000000000003,8.145,12.405,7.185,6.19,18.17,10.6,6.582,2.137
2019-09-09,3.6165000000000003,1.7295,22.83,8.144,26.04,35.31,23.37,0.8338,67.46,164.55,28.79,14.292,4.734,43.96,4.602,2.493,22.94,18.7,9.23,19.45,13.88,97.2,27.4,36.48,12.06,5.632,3.612,8.15,12.585,7.435,6.24,17.98,10.67,6.66,2.207
2019-09-10,3.7205,1.756,23.15,8.252,25.33,36.34,23.43,0.8526,67.18,166.0,28.61,14.75,4.924,44.92,4.696,2.529,23.12,18.42,9.196,19.725,14.155,95.15,27.36,35.91,11.94,5.87,3.682,8.08,12.91,7.53,6.122,18.005,10.56,6.686,2.265
2019-09-11,3.7105,1.7305000000000001,23.33,8.338,25.31,36.8,23.38,0.8554,67.34,166.0,27.5,15.096,5.06,45.02,4.6765,2.541,23.26,18.8,9.194,20.23,14.015,97.9,27.72,36.61,11.9,5.852,3.66,8.32,13.44,7.6,6.186,18.31,10.42,6.691,2.262
2019-09-12,3.7279999999999998,1.7005,23.48,8.382,25.88,36.49,23.56,0.846,67.5,165.85,27.18,15.046,5.102,43.62,4.729,2.536,23.58,19.1,9.308,20.2,13.835,97.95,27.6,37.46,11.92,5.88,3.534,8.15,13.52,7.37,6.162,18.335,10.4,6.7219999999999995,2.241
2019-09-13,3.821,1.764,23.0,8.516,25.75,36.08,23.39,0.912,67.2,164.4,26.91,15.57,5.15,43.72,4.8655,2.577,24.08,19.1,9.21,20.25,13.985,97.45,27.1,37.54,11.96,6.092,3.706,8.19,13.665,7.55,6.136,18.06,10.39,6.789,2.404
2019-09-16,3.766,1.7305000000000001,23.21,8.352,25.51,35.87,23.28,0.897,66.18,161.3,26.56,15.25,5.04,43.0,4.795,2.517,24.52,19.24,9.156,20.31,14.135,95.45,26.71,36.3,11.93,5.922,3.758,8.075,13.81,7.48,6.056,18.0,10.29,6.793,2.385
